TeamCode,Team Name,PrimaryColor,SecondaryColor,Division,Conf,NFL,FBS,Power 5,Conference  ,Logo
VAHI,HAMPTON,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
MAHA,HARVARD,,,IAA,Ivy,0,0,0,Ivy League,
NYHF,HOFSTRA,,,IAA,Patriot,0,0,0,Patriot League,
MAHC,HOLY CROSS,,,IAA,Patriot,0,0,0,Patriot League,
TXHT,HOUSTON BAPTIST,,,IAA,Southland,0,0,0,Southland Conference,
DCHO,HOWARD,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
HST,HST,,,AFC SOUTH,AFC,1,0,0,AFC,
IDUN,IDAHO,,,FCS,Big Sky,0,0,0,Big Sky Conference,
IDST,IDAHO ST,,,IAA,Big Sky,0,0,0,Big Sky Conference,
ILST,ILLINOIS ST,,,IAA,Missouri Valley,0,0,0,Missouri Valley Football Conference,
TXIW,INCARNATE WORD,,,IAA,Southland,0,0,0,Southland Conference,
IND,IND,,,AFC SOUTH,AFC,1,0,0,AFC,
INST,INDIANA ST,,,IAA,Missouri Valley,0,0,0,Missouri Valley Football Conference,
MSJA,JACKSON ST,,,IAA,SWAC,0,0,0,Southwestern Athletic Conference,
ALJA,JACKSONVILLE ST-AL,,,IAA,Ohio Valley,0,0,0,Ohio Valley Conference,
FLJA,JACKSONVILLE-FL,,,IAA,Pioneer,0,0,0,Pioneer Football League,
VAJM,JAMES MADISON,,,IAA,CAA,0,0,0,Colonial Athletic Association,
JAX,JAX,,,AFC SOUTH,AFC,1,0,0,AFC,
NCJC,JOHNSON CENTRAL SMITH,,,D2,D2,,0,0,D2,
KC,KC,,,AFC WEST,AFC,1,0,0,AFC,
KYST,KENTUCKY STATE,,,D2,D2,,0,0,D2,
KYWS,KENTUCKY WESLEYAN,,,D2,D2,,0,0,D2,
LA,LA,,,NFC WEST,NFC,1,0,0,NFC,
PALF,LAFAYETTE,,,IAA,Patriot,0,0,0,Patriot League,
TXLA,LAMAR,,,IAA,Southland,0,0,0,Southland Conference,
PALE,LEHIGH,,,IAA,Patriot,0,0,0,Patriot League,
PALN,LINCOLN,,,D2,D2,,0,0,D2,
NCLI,LIVINGSTONE,,,D2,D2,,0,0,D2,
MEUN,MAINE,,,IAA,CAA,0,0,0,Colonial Athletic Association,
OHML,MALONE,,,D2,D2,,0,0,D2,
NYMR,MARIST,,,IAA,Pioneer,0,0,0,Pioneer Football League,
NCMH,MARS HILL,,,D2,D2,,0,0,D2,
ILMK,MCKENDREE,,,D2,D2,,0,0,D2,
LAMC,MCNEESE ST,,,IAA,Southland,0,0,0,Southland Conference,
GAME,MERCER,,,IAA,Southern,0,0,0,Southern Conference,
MAMK,MERRIMACK,,,D2,D2,,0,0,D2,
MIA,MIA,,,AFC EAST,AFC,1,0,0,AFC,
ALMI,MILES,,,D2,D2,,0,0,D2,
MIN,MIN,,,NFC NORTH,NFC,1,0,0,NFC,
MSVA,MISSISSIPPI VALLEY ST,,,IAA,SWAC,0,0,0,Southwestern Athletic Conference,
MORO,MISSOURI S&T,,,D2,D2,,0,0,D2,
MOSW,MISSOURI ST,,,IAA,Missouri Valley,0,0,0,Missouri Valley Football Conference,
NJMO,MONMOUTH-NJ,,,IAA,IND (FCS),0,0,0,Independent,
MTUN,MONTANA,,,IAA,Big Sky,0,0,0,Big Sky Conference,
MTST,MONTANA ST,,,IAA,Big Sky,0,0,0,Big Sky Conference,
KYMO,MOREHEAD ST,,,IAA,Pioneer,0,0,0,Pioneer Football League,
MDMO,MORGAN ST,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
KYMU,MURRAY ST,,,IAA,Ohio Valley,0,0,0,Ohio Valley Conference,
NE,NE,,,AFC EAST,AFC,1,0,0,AFC,
NHUN,NEW HAMPSHIRE,,,IAA,CAA,0,0,0,Colonial Athletic Association,
NMHI,NEW MEXICO HIGHLANDS,,,D2,D2,,0,0,D2,
NYAB,NEW YORK ST-ALBANY,,,IAA,CAA,0,0,0,Colonial Athletic Association,
AMER,NFLPA AMERICAN,,,ALL-STAR BOWL,N/A,0,0,0,ALL-STAR BOWL,
NATL,NFLPA NATIONAL,,,ALL-STAR BOWL,N/A,0,0,0,ALL-STAR BOWL,
LANI,NICHOLLS ST-LA,,,IAA,Southland,0,0,0,Southland Conference,
NO,NO,,,NFC SOUTH,NFC,1,0,0,NFC,
VANO,Norfolk State,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
ALNO,NORTH ALABAMA,,,D2,D2,,0,0,D2,
NCAT,NORTH CAROLINA A&T ST,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
NCCE,NORTH CAROLINA CENTRAL,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
NDUN,NORTH DAKOTA,,,IAA,Big Sky,0,0,0,Big Sky Conference,
NDST,NORTH DAKOTA ST,,,IAA,Missouri Valley,0,0,0,Missouri Valley Football Conference,
SCNG,NORTH GREENVILLE,,,D2,D2,,0,0,D2,
MANE,NORTHEASTERN,,,IAA,Patriot,0,0,0,Patriot League,
AZNO,NORTHERN ARIZONA,,,IAA,Big Sky,0,0,0,Big Sky Conference,
CONO,NORTHERN COLORADO,,,IAA,Big Sky,0,0,0,Big Sky Conference,
IANO,NORTHERN IOWA,,,IAA,Missouri Valley,0,0,0,Missouri Valley Football Conference,
LANW,NORTHWESTERN ST,,,IAA,Southland,0,0,0,Southland Conference,
NYG,NYG,,,NFC EAST,NFC,1,0,0,NFC,
NYJ,NYJ,,,AFC EAST,AFC,1,0,0,AFC,
OAK,OAK,,,AFC WEST,AFC,1,0,0,AFC,
OKPH,OKLAHOMA PANHANDLE STATE,,,D2,D2,,0,0,D2,
PAUN,PENN,,,IAA,Ivy,0,0,0,Ivy League,
PHI,PHI,,,NFC EAST,NFC,1,0,0,NFC,
KYPV,PIKEVILLE,,,NAIA,NAIA,,0,0,NAIA,
PIT,PIT,,,AFC NORTH,AFC,1,0,0,AFC,
GAPT,POINT,,,NAIA,NAIA,,0,0,NAIA,
ORPS,PORTLAND ST,,,IAA,Big Sky,0,0,0,Big Sky Conference,
TXPV,PRAIRIE VIEW A&M,,,IAA,SWAC,0,0,0,Southwestern Athletic Conference,
SCPR,PRESBYTERIAN,,,IAA,Big South,0,0,0,Big South Conference,
NJPR,PRINCETON,,,IAA,Ivy,0,0,0,Ivy League,
ILQU,QUINCY,,,D2,D2,,0,0,D2,
RIUN,RHODE ISLAND,,,IAA,CAA,0,0,0,Colonial Athletic Association,
VARI,Richmond,,,IAA,CAA,0,0,0,Colonial Athletic Association,
PARM,ROBERT MORRIS,,,IAA,Northeast,0,0,0,Northeast Conference,
MTRM,ROCKY MOUNTAIN,,,NAIA,NAIA,,0,0,NAIA,
NORT,RSB NORTH,,,ALL-STAR BOWL,N/A,0,0,0,ALL-STAR BOWL,
SOUT,RSB SOUTH,,,ALL-STAR BOWL,N/A,0,0,0,ALL-STAR BOWL,
CTSH,SACRED HEART,,,IAA,Northeast,0,0,0,Northeast Conference,
TXSH,SAM HOUSTON ST,,,IAA,Southland,0,0,0,Southland Conference,
ALSM,SAMFORD,,,IAA,Southern,0,0,0,Southern Conference,
CASU,SAN DIEGO,,,IAA,Pioneer,0,0,0,Pioneer Football League,
GASA,SAVANNAH ST,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
SD,SD,,,AFC WEST,AFC,1,0,0,AFC,
SEA,SEA,,,NFC WEST,NFC,1,0,0,NFC,
SF,SF,,,NFC WEST,NFC,1,0,0,NFC,
GASH,SHORTER,,,D2,D2,,0,0,D2,
EAST,SHRINE EAST,,,ALL-STAR BOWL,N/A,0,0,0,ALL-STAR BOWL,
WEST,SHRINE WEST,,,ALL-STAR BOWL,N/A,0,0,0,ALL-STAR BOWL,
NYSI,SIENA,,,IAA,Pioneer,0,0,0,Pioneer Football League,
SCST,SOUTH CAROLINA ST,,,IAA,MEAC,0,0,0,Mid-Eastern Athletic Conference,
SDST,SOUTH DAKOTA ST,,,IAA,Missouri Valley,0,0,0,Missouri Valley Football Conference,
MOSE,SOUTHEAST MISSOURI ST,,,IAA,Ohio Valley,0,0,0,Ohio Valley Conference,
LASE,SOUTHEASTERN LOUISIANA,,,IAA,Southland,0,0,0,Southland Conference,
LASO,SOUTHERN A&M,,,IAA,SWAC,0,0,0,Southwestern Athletic Conference,
ILSO,SOUTHERN ILLINOIS,,,IAA,Missouri Valley,0,0,0,Missouri Valley Football Conference,
ORSO,SOUTHERN OREGON,,,NAIA,NAIA,,0,0,NAIA,
UTSO,SOUTHERN UTAH,,,IAA,Big Sky,0,0,0,Big Sky Conference,
CAOU,SOUTHWESTERN COLLEGE,,,NAIA,NAIA,,0,0,NAIA,
PASF,ST FRANCIS-PA,,,IAA,Northeast,0,0,0,Northeast Conference,
NYSJ,ST JOHN'S-NY,,,IAA,Pioneer,0,0,0,Pioneer Football League,
CASM,ST MARY'S-CA,,,IAA,Big Sky,0,0,0,Big Sky Conference,
NHSA,ST. ANSELM,,,D2,D2,,0,0,D2,
NCSA,ST. AUGUSTINE'S,,,D2,D2,,0,0,D2,
TXSF,STEPHEN F AUSTIN,,,IAA,Southland,0,0,0,Southland Conference,
FLSS,STETSON,,,IAA,Pioneer,0,0,0,Pioneer Football League,
NYST,STONY BROOK,,,IAA,CAA,0,0,0,Colonial Athletic Association,
TXTA,TARLETON STATE,,,D2,D2,,0,0,D2,
INTA,TAYLOR,,,NAIA,NAIA,,0,0,NAIA,
TB,TB,,,NFC SOUTH,NFC,1,0,0,NFC,
TEN,TEN,,,AFC SOUTH,AFC,1,0,0,AFC,
TNAI,TENNESSEE ST,,,IAA,Ohio Valley,0,0,0,Ohio Valley Conference,
TNTC,TENNESSEE TECH,,,IAA,Ohio Valley,0,0,0,Ohio Valley Conference,
TNCH,TENNESSEE-CHATT,,,IAA,Southern,0,0,0,Southern Conference,
TNMR,TENNESSEE-MARTIN,,,IAA,Ohio Valley,0,0,0,Ohio Valley Conference,
TXAI,TEXAS A&M-KINGSVILLE,,,D2,D2,,0,0,D2,
TXSO,TEXAS SOUTHERN,,,IAA,SWAC,0,0,0,Southwestern Athletic Conference,
MDTO,TOWSON,,,IAA,CAA,0,0,0,Colonial Athletic Association,
ILTR,TRINITY INTERNATIONAL,,,NAIA,NAIA,,0,0,NAIA,
ALTU,TUSKEGEE,,,D2,D2,,0,0,D2,
INVA,VALPARAISO,,,IAA,Pioneer,0,0,0,Pioneer Football League,
PAVI,VILLANOVA,,,IAA,CAA,0,0,0,Colonial Athletic Association,
VAMI,VMI,,,IAA,Southern,0,0,0,Southern Conference,
VALY,VIRGINIA-LYNCHBURG,,,NAIA,NAIA,,0,0,NAIA,
NYWA,WAGNER,,,IAA,Northeast,0,0,0,Northeast Conference,
FLWR,WARNER,,,NAIA,NAIA,,0,0,NAIA,
WAS,WAS,,,NFC EAST,NFC,1,0,0,NFC,
UTWB,WEBER ST,,,IAA,Big Sky,0,0,0,Big Sky Conference,
ALLI,WEST ALABAMA,,,D2,D2,,0,0,D2,
WVWE,WEST VIRGINIA WESLEYAN,,,D2,D2,,0,0,D2,
NCWE,WESTERN CAROLINA,,,IAA,Southern,0,0,0,Southern Conference,
ILWE,WESTERN ILLINOIS,,,IAA,Missouri Valley,0,0,0,Missouri Valley Football Conference,
NMWE,WESTERN NEW MEXICO,,,D2,D2,,0,0,D2,
ORCL,WESTERN OREGON,,,D2,D2,,0,0,D2,
VAWM,William & Mary,,,IAA,CAA,0,0,0,Colonial Athletic Association,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2729.png
SCWO,WOFFORD,,,IAA,Southern,0,0,0,Southern Conference,
CTYA,YALE,,,IAA,Ivy,0,0,0,Ivy League,
OHYO,YOUNGSTOWN,,,IAA,Missouri Valley,0,0,0,Missouri Valley Football Conference,
