TeamCode,Team Name,PrimaryColor,SecondaryColor,Division,Conf,NFL,FBS,Power 5,Conference  ,Logo
IAUN,Iowa,#FFCD00,#000000,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png
IAST,Iowa State,#C8102E,#F1BE48,IA,Big-12,0,1,1,Big Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png
KSUN,Kansas,#0051BA,#E8000D,IA,Big-12,0,1,1,Big Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2305.png
KSST,Kansas State,#512888,#D1D1D1,IA,Big-12,0,1,1,Big Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2306.png
OHKS,Kent State,#002664,#EAAB00,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2309.png
KYUN,Kentucky,#0033A0,#FFFFFF,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/96.png
VALB,Liberty,#C41230,#002D62,IA,IND (FBS),0,1,0,Independent,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2335.png
LASW,Louisiana,#CE181E,#0A0203,IA,Sun Belt,0,1,0,Sun Belt Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png
LANE,Louisiana Monroe,#800029,#BD955A,IA,Sun Belt,0,1,0,Sun Belt Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2433.png
LATC,Louisiana Tech,#E31B23,#A2AAAD,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2348.png
KYLO,Louisville,#AD0000,#000000,IA,ACC,0,1,1,Atlantic Coast Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png
LAST,LSU,#461D7C,#FDD023,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png
WVMA,Marshall,#00B140,#A2AAAD,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png
MDUN,Maryland,#E03A3E,#FFD520,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/120.png
TNMS,Memphis,#003087,#898D8D,IA,AAC,0,1,0,American Athletic Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png
FLMI,Miami (FL),#F47321,#005030,IA,ACC,0,1,1,Atlantic Coast Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png
OHMI,Miami (OH),#B61E2E,#000000,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/193.png
MIUN,Michigan,#00274C,#FFCB05,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png
MIST,Michigan State,#18453B,#FFFFFF,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png
TNMI,Middle Tennessee State,#0066CC,#69B3E7,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2393.png
MNUN,Minnesota,#7A0019,#FFCC33,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png
MSUN,Mississippi,#CE1126,#14213D,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png
MSST,Mississippi State,#660000,#FFFFFF,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/344.png
MOUN,Missouri,#000000,#F1B82D,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/142.png
MDNA,Navy,#00205B,#C5B783,IA,IND (FBS),0,1,0,Independent,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2426.png
NCST,NC State,#CC0000,#000000,IA,ACC,0,1,1,Atlantic Coast Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png
NEUN,Nebraska,#E41C38,#5F6A72,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/158.png
NVRE,Nevada,#003366,#807F84,IA,MWC,0,1,0,Mountain West Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2440.png
NMUN,New Mexico,#BA0C2F,#A7A8AA,IA,MWC,0,1,0,Mountain West Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/167.png
NMST,New Mexico State,#861F41,#97999B,IA,Sun Belt,0,1,0,Sun Belt Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/166.png
NCUN,North Carolina,#7BAFD4,#FFFFFF,IA,ACC,0,1,1,Atlantic Coast Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png
TXNO,North Texas,#00853E,#000000,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/249.png
ILNO,Northern Illinois,#BA0C2F,#8A8D8F,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2459.png
ILNW,Northwestern,#4E2A84,#FFFFFF,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/77.png
INND,Notre Dame,#0C2340,#C99700,IA,IND (FBS),0,1,1,Independent,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png
OHUN,Ohio,#00694E,#CDA077,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/195.png
OHST,Ohio State,#BB0000,#666666,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png
OKUN,Oklahoma,#841617,#FDF9D8,IA,Big-12,0,1,1,Big Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png
OKST,Oklahoma State,#FF7300,#000000,IA,Big-12,0,1,1,Big Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png
VAOD,Old Dominion,#003057,#92C1E9,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/295.png
ORUN,Oregon,#154733,#FEE123,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png
ORST,Oregon State,#DC4405,#000000,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/204.png
PAST,Penn State,#093162,#FFFFFF,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png
PAPT,Pittsburgh,#1C2957,#CDB87D,IA,ACC,0,1,1,Atlantic Coast Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png
INPU,Purdue,#CEB888,#000000,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png
TXRI,Rice,#00205B,#C1C6C8,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png
NJRU,Rutgers,#CC0033,#5F6A72,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/164.png
CASS,San Diego State,#A6192E,#000000,IA,MWC,0,1,0,Mountain West Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/21.png
CASJ,San Jose State,#0055A2,#E5A823,IA,MWC,0,1,0,Mountain West Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/23.png
TXMU,SMU,#0033A0,#C8102E,IA,AAC,0,1,0,American Athletic Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png
ALSO,South Alabama,#00205B,#BF0D3E,IA,Sun Belt,0,1,0,Sun Belt Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/6.png
SCUN,South Carolina,#73000A,#000000,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png
FLSO,South Florida,#006747,#CFC493,IA,AAC,0,1,0,American Athletic Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png
MSSO,Southern Mississippi,#000000,#FFAB00,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2572.png
CAST,Stanford,#8C1515,#FFFFFF,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/24.png
NYSY,Syracuse,#D44500,#3E3D3C,IA,ACC,0,1,1,Atlantic Coast Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png
TXCU,TCU,#4D1979,#A3A9AC,IA,Big-12,0,1,1,Big Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2628.png
PATE,Temple,#9D2235,#FFCD00,IA,AAC,0,1,0,American Athletic Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/218.png
TNUN,Tennessee,#FF8200,#58595B,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png
TXUN,Texas,#BF5700,#333F48,IA,Big-12,0,1,1,Big Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png
TXAM,Texas A&M,#500000,#FFFFFF,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png
TXSW,Texas State,#501214,#8D734A,IA,Sun Belt,0,1,0,Sun Belt Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/326.png
TXTC,Texas Tech,#CC0000,#000000,IA,Big-12,0,1,1,Big Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2641.png
OHTO,Toledo,#15397F,#005CB9,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2649.png
ALTR,Troy,#8A2432,#B3B5B8,IA,Sun Belt,0,1,0,Sun Belt Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2653.png
LATU,Tulane,#006747,#43B02A,IA,AAC,0,1,0,American Athletic Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2655.png
OKTU,Tulsa,#002D72,#C8102E,IA,AAC,0,1,0,American Athletic Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png
ALBI,UAB,#006341,#CC8A00,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/5.png
FLCE,UCF,#BA9B37,#FFFFFF,IA,AAC,0,1,0,American Athletic Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png
CALA,UCLA,#2D68C4,#F2A900,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/26.png
